Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
528,102,True,1,2,14,3,False,False
529,102,True,15,4,17,0,False,False
530,102,True,16,1,22,4,False,False
531,103,True,11,3,24,2,False,False
532,103,True,13,0,18,2,False,False
533,103,True,7,5,15,4,False,False
534,103,True,2,3,5,2,False,False
535,103,True,3,2,16,1,False,False
536,103,True,9,5,21,2,False,False
537,104,True,4,3,19,1,False,False
538,104,True,17,3,1,2,False,False
539,104,True,6,4,20,5,True,False
540,104,True,24,4,11,0,False,False
541,104,True,10,6,23,5,True,True
542,104,True,8,1,9,2,True,False
543,105,True,2,2,4,3,True,True
544,105,True,18,8,13,0,False,False
545,105,True,5,4,7,5,False,False
546,105,True,14,3,12,4,False,False
547,105,True,21,1,3,2,False,False
548,106,True,1,1,8,3,False,False
549,106,True,10,1,2,4,False,False
550,106,True,15,2,6,1,False,False
551,106,True,23,2,14,3,False,False
552,106,True,17,2,22,0,False,False
553,107,True,19,4,10,5,True,False
554,107,True,18,2,17,3,False,False
555,107,True,20,0,16,2,False,False
556,107,True,7,1,24,5,False,False
557,107,True,13,5,15,3,False,False
558,108,True,4,2,11,1,False,False
559,108,True,5,2,21,0,False,False
560,108,True,22,4,18,3,True,False
561,108,True,3,0,9,4,False,False
562,109,True,24,0,19,1,False,False
563,109,True,14,3,1,1,False,False
564,109,True,7,3,20,5,False,False
565,109,True,13,3,5,1,False,False
566,109,True,2,3,12,5,False,False
567,110,True,22,3,4,0,False,False
568,110,True,11,2,23,3,False,False
569,110,True,10,4,8,5,False,False
570,110,True,3,3,6,1,False,False
571,110,True,16,3,13,2,False,False
572,110,True,20,2,2,1,False,False
573,111,True,12,1,7,4,False,False
574,111,True,24,4,14,3,False,False
575,111,True,19,4,3,1,False,False
576,111,True,18,5,10,4,True,False
577,111,True,1,3,17,4,True,False
578,111,True,21,0,15,4,False,False
579,112,True,9,4,22,3,True,False
580,112,True,11,3,16,1,False,False
581,112,True,15,4,5,5,True,True
582,112,True,8,3,21,0,False,False
583,112,True,4,3,18,2,False,False
584,112,True,6,1,24,3,False,False
585,113,True,17,4,1,2,False,False
586,113,True,20,2,19,3,False,False
587,113,True,14,2,23,1,False,False
588,113,True,13,5,9,0,False,False
589,114,True,16,0,11,2,False,False
590,114,True,2,2,12,7,False,False
591,114,True,6,2,4,4,False,False
592,114,True,3,4,20,2,False,False
593,114,True,10,4,8,0,False,False
594,114,True,23,3,7,2,True,False
595,115,True,15,0,13,2,False,False
596,115,True,18,3,2,2,False,False
597,115,True,22,0,14,2,False,False
598,115,True,5,1,3,2,False,False
599,115,True,24,2,6,0,False,False
600,116,True,7,2,10,4,False,False
601,116,True,16,2,17,5,False,False
602,116,True,12,3,22,4,True,False
603,116,True,9,6,21,1,False,False
604,116,True,1,4,15,1,False,False
605,117,True,5,3,19,1,False,False
606,117,True,14,1,11,2,False,False
607,117,True,4,2,18,5,False,False
608,117,True,13,0,24,3,False,False
609,117,True,8,3,16,2,True,True
610,118,True,7,0,1,3,False,False
611,118,True,20,2,9,3,True,True
612,118,True,2,4,23,2,False,False
613,118,True,17,5,5,2,False,False
614,118,True,6,2,12,5,False,False
615,118,True,10,4,4,2,False,False
616,119,True,22,1,20,2,False,False
617,119,True,13,2,8,3,False,False
618,119,True,11,0,3,1,False,False
619,119,True,18,5,2,3,False,False
620,119,True,19,4,7,3,False,False
621,120,True,12,2,6,3,True,True
622,120,True,10,6,14,4,False,False
623,120,True,21,1,13,2,False,False
624,120,True,1,3,17,5,False,False
625,121,True,16,2,10,4,False,False
626,121,True,3,1,15,0,False,False
627,121,True,23,3,22,4,False,False
628,121,True,5,0,24,3,False,False
629,121,True,11,2,21,3,False,False
630,121,True,4,3,9,1,False,False
631,122,True,20,3,18,2,False,False
632,122,True,7,5,19,2,False,False
633,122,True,1,0,16,2,False,False
634,122,True,17,0,5,2,False,False
635,123,True,13,2,11,3,True,False
636,123,True,22,4,23,3,False,False
637,123,True,14,1,8,0,False,False
638,123,True,2,2,4,1,False,False
639,124,True,15,1,20,2,False,False
640,124,True,7,1,1,5,False,False
641,124,True,24,2,12,3,True,True
642,124,True,10,2,6,1,False,False
643,124,True,9,3,3,5,False,False
644,124,True,5,1,2,0,False,False
645,125,True,13,1,14,4,False,False
646,125,True,4,1,7,4,False,False
647,125,True,23,2,10,5,False,False
648,125,True,19,4,17,5,False,False
649,125,True,18,1,21,2,False,False
650,125,True,3,2,22,4,False,False
651,126,True,20,4,13,5,False,False
